source,content,classification
Tom Cotton,"“New York's 1,200+ homeless veterans are ineligible for these $15,600 payments.”",incredible
Facebook posts,"“About 40% to 50% of CDC, FDA employees are refusing the COVID-19 vaccine, according to” Anthony Fauci and FDA’s Peter Marks.",incredible
Wisconsin Assembly GOP,“Republicans on the Joint Finance Committee removed more than $8 billion in spending increases from Gov. Evers' budget proposal.”,credible
Viral image,Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,incredible
Facebook posts,"""When you can't find gas, remember who executively ordered the Keystone Pipeline to close.""",incredible
Facebook posts,Says photos show a “boneyard” of electric cars abandoned in France because the cars’ batteries were too expensive to replace.,incredible
Instagram posts,Transmission of COVID-19 by asymptomatic individuals “has never been proven.”,incredible
Viral image,Magnet video proves COVID-19 vaccines contain microchips.,incredible
Kevin McCarthy,"""I don't think anybody is questioning the legitimacy of the presidential election.""",incredible
Pat McCrory,"Says “75% of third-graders in this year’s class are not reading at a third grade level” and, for those who don’t catch up, there’s “an 80% chance that you will not graduate.”",credible
Facebook posts,Says Benjamin Netanyahu gave a speech to Hamas leaders thanking them for uniting Israel.,incredible
Jeffrey Zients,“The research showed … that confidence overall in the vaccines increased after the pause” to review the safety of Johnson & Johnson’s coronavirus vaccine.,credible
Ted Cruz,The voting rights bill “would register millions of illegal aliens to vote. It is intended to do that.”,incredible
Instagram posts,"“After California taxes, Trey Lance's $34.1M rookie deal becomes just $16M.""",credible
Viral image,Video shows woman filling plastic bags with gas after Colonial Pipeline disruption.,incredible
Andrew Clyde,"“Watching the TV footage of those who entered the Capitol. … If you didn't know the TV footage was from Jan. 6, you would actually think it was a normal tourist visit.”",incredible
Viral image,Photos show gas costs nearly $10 in the Carolinas.,incredible
Viral image,Exxon sign says drivers “must show proof of a job for gas purchase.”,incredible
Viral image,Photo shows “plastic bags filled with gas” in someone’s car trunk in South Carolina.,incredible
Lindsay James,"“There are more job openings than there are people on unemployment"" in Iowa.",credible
Facebook posts,“U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.”,incredible
Viral image,"“Due to the Colonial Pipeline issue causing a fuel shortage on the east coast, NASCAR has decided to postpone this weekend’s Dover race.”",incredible
Facebook posts,“Montana is canceling unemployment because of a workforce shortage.”,credible
Viral image,“Amazon accepts Dogecoin.”,incredible
Terry McAuliffe,“Every single Petersburg (Va.) school was accredited when I left office.”,incredible
Tony Evers,“Regulating and taxing marijuana—much like we do alcohol—would generate more than $165M in revenue starting in 2022”,credible
Joe Biden,"For vaccine rates among Americans 65 and older, “there’s virtually no difference between white, Black, Hispanic, Asian American.”",incredible
Viral image,"""Manufacturing the battery for one electric car produces the same amount of carbon dioxide as running a petrol car for eight years.""",incredible
Instagram posts,The COVID-19 vaccine “will make the common cold/flu extremely lethal.”,incredible
Facebook posts,"""Michigan has requested a full forensic audit.""",incredible
Viral image,“Birmingham is officially out of gas and fuel and can’t get anymore.”,incredible
Facebook posts,New Jersey “will be out of gas for a week.”,incredible
Bloggers,"""Scientists Claim to Spot Fungus Growing on Mars in NASA Rover Photos”",incredible
Facebook posts,Caitlyn Jenner “literally killed someone 6 years ago in the streets and was released by a District Attorney.”,incredible
Instagram posts,“The death rate for fully vaccinated people is significantly higher than non-vaccinated [people].”,incredible
Joe Biden,"After the American Rescue Plan’s food and nutrition assistance, “hunger is already sharply down in the United States.”",credible
Institute for Energy Research,“Conventional generators are very thin right now because Texas has gone to so many renewables.”,incredible
Facebook posts,"Says Chelsea Clinton tweeted, ""If Jesus were alive today he'd be working at Planned Parenthood.""",incredible
Facebook posts,“First time in 70 years the National Day Of Prayer was not observed in our nation’s capital!”,incredible
Jeff Jackson,Says he was “one of the 2 (state Senators) who voted against” North Carolina’s body camera law.,credible
Kamala Harris,“The global cost of corruption is as much as 5% of the world's GDP.”,incredible
Survival International,"With the goal to preserve 30% of the earth’s land and water by 2030, “300 million people stand to lose their land and livelihood, most of them tribal and indigenous peoples.”",incredible
Jon Erpenbach,"""There’s no strings attached to that money that we’d be getting as an incentive to expand Medicaid.""",credible
Facebook posts,"An ongoing audit of the 2020 presidential election in Arizona “showed Trump ahead by 250,000” votes, and “nearly 950,000 ballots are declared illegal, nearly all for Biden.”",incredible
YouTube videos,All charges were dropped against Bill Cosby and he was granted an early release.,incredible
Tucker Carlson,"“Between late December of 2020 and last month, a total of 3,362 people apparently died after getting the COVID vaccine in the United States … The actual number is almost certainly higher.”",incredible
Viral image,Says Nikki Haley “white-washed” her name because she thought it “would give her a better chance than the name Nimrata Randhawa.”,incredible
Bloggers,"""15-year-old boy passes away from heart attack two days after Pfizer COVID-19 experimental jab.""",incredible
Chris Christie,"""Joe Biden is proposing that any family who tries to pass a business or a farm down to their son or daughter or grandson or granddaughter are going to pay a huge new tax.""",incredible
Facebook posts,“Washington Post ends fact-checking for Biden for the remainder of his presidency.”,incredible
Facebook posts,“A year ago we had the lowest unemployment in history without using taxpayers money.”,incredible
Bloggers,A spy plane was circling the building of the Arizona election audit.,incredible
Bloggers,"“Joe Suffers Brain Fart! Biden Visits Elementary School, Asks The Children If They’re High Schoolers (VIDEO).”",incredible
Ben Cline,"The Green New Deal “costs an average American household almost $700,000 through 2029.”",incredible
John Cox,"California Gov. Gavin Newsom “just let 76,000 inmates out of jail.""",incredible
Ron Johnson,"With federal stimulus money for schools, “no distinctions are being made between Wisconsin schools that remain closed to in-person learning, and those that have been re-opened for months.”",incredible
Ron DeSantis,"“If you look at some of these places that (reduced police funding), they’ve already seen crime go up.""",incredible
Viral image,"“Parents in Vail, Arizona just took over the school board — all according to the rules. Voted in a whole new board, and immediately removed the mask mandate.”",incredible
TikTok posts,"If you get the COVID-19 vaccine, you can't donate blood or plasma ""because it's completely tainted.""",incredible
Facebook posts,"An audit of the 2020 election in Maricopa County, Ariz., “is confirming the rumors that real ballots have a special watermark.”",incredible
Viral image,11.6 million people watched Biden’s first presidential address to Congress while far larger audiences watched Donald Trump’s speeches.,credible
Janet Yellen,“Corporate income has increased as a share of” gross domestic product.,credible
Viral image,Images show LeBron James standing for China's national anthem while shouting during the United States’ national anthem.,incredible
Facebook posts,"Says Kentucky Derby jockey John Velazquez turned down an invitation to the White House and said, “if I wanted to see a horse’s ass I would of came in second.”",incredible
Facebook posts,"Social media posts stated: “Remember Kamala telling Joe during the debate, ‘You will do whatever the Chinese tell you! They gave your son over a billion dollars.’”",incredible
Randy Feenstra,"""Only <6% of the $2.1 trillion 'infrastructure' bill contains funding for roads & bridges.”",credible
Facebook posts,“Anyone remember Kamala telling Joe during the debate: ‘You will do whatever the Chinese tell you! They gave your son over a billion dollars.’”,incredible
Facebook posts,"""The Unvaccinated Beware, COVID-19 mRNA Shots Cause Death and Disease Through GMO Shedding""",incredible
Instagram posts,Vaccine herd immunity doesn’t exist because 100% of the population would have to be vaccinated for it to work.,incredible
Tim Scott,Says Democrats blocked his efforts at police reform.,credible
Tony Evers,A new state agreement with Foxconn “will save Wisconsin taxpayers $2.77 billion.”,credible
Kevin Kiley,“San Francisco had twice as many drug overdose deaths as COVID deaths last year.”,credible
Tweets,"Sen. Joni Ernst's visual aid said liberals wanted to abolish lasagna, among other things.",incredible
Facebook posts,"“For #Covid vaccines, shingles and even more dangerous and painful skin conditions may be the new thrombocytopenia.""",incredible
Viral image,60% of new COVID-19 patients are people who received the vaccine.,incredible
Kevin McCarthy,Says Joe Biden is “going to control how much meat you can eat.”,incredible
Kevin Parker,“Law enforcement violence is the leading cause of death for young Black men and women in the US.”,incredible
Facebook posts,A leaked email from a Liberal Party politician shows the Canadian government's plan to “reset” the economy and seize private property.,incredible
Facebook posts,"It's illegal for a college, public school or employer to ""mandate"" the vaccine because it was authorized for emergency use.",incredible
Instagram posts,Photo that shows COVID-19 test swabs labeled positive and negative proves that the tests are fixed.,incredible
Joe Manchin,“Very few … if any” states have a minimum wage of $7.25 an hour.,incredible
Facebook posts,“Joe Biden says Americans can only celebrate the Fourth of July if he says so.”,incredible
Viral image,"A Centers for Disease Control and Prevention campaign says, “FACT: Refusing to take the vaccine is a form of racism since it harms people of color.”",incredible
Bloggers,"Group “identifies 12,547 illegal votes” in Georgia's 2020 election results, “exceeds margin of victory in the state.”",incredible
Viral image,“UN cultural agency removes birthplace of Jesus from its list of heritage sites.”,incredible
Facebook posts,"A McDonald’s restaurant in Elkton, Md., was permanently closed “due to a sex trafficking investigation.”",incredible
Bloggers,“Hillary Clinton hanged at GITMO.”,incredible
Bloggers,Joe Biden’s 100-day approval rating “is the lowest in American history.”,incredible
Kirk Cox,On Virginia’s new marijuana law: “You can have up to one pound with only a $25 fine.”,credible
Thom Tillis,“One of (Joe Biden’s) first acts in office was sending an immigration bill to Congress to grant mass amnesty to illegal immigrants.”,credible
Black Lives Matter,“Biden is currently sending more military equipment to our neighborhoods than Trump did.”,incredible
Facebook posts,“A quarter of a million illegal votes found in Arizona’s audit.”,incredible
Facebook posts,“Bill Gates fights to keep vaccine ingredients secret.”,incredible
Facebook posts,"“70% of Americans don't believe a word the mainstream media puts out,” so “everyone who thinks Biden won are only 30% of the population.”",incredible
Joe Biden,Says his administration’s efforts have led to more school reopenings.,credible
Instagram posts,Mariah Carey faked getting her COVID-19 vaccine because the needle can’t be seen coming out of her arm.,incredible
Donald Trump,"“Human trafficking and drugs” at the Mexico border have “doubled, tripled and quadrupled” since Joe Biden became president.",incredible
Facebook posts,“The Biden Administration is buying Kamala Harris’ book with our taxpayer dollars.”,incredible
Viral image,Photo shows Facebook’s “community standards team.”,incredible
Facebook posts,COVID-19 “has killed less people than the damn flu.”,incredible
Viral image,"Says the Memphis Police Department “will no longer respond” to crimes including larceny, breaking and entering, and motor vehicle theft.",incredible
Ted Cruz,“You didn't see Republicans when we had control of the Senate try to rig the game.”,incredible
Van Wanggaard,Foxconn “is the largest taxpayer in Racine County.”,credible
Fox News Channel,"""Biden's climate requirements"" will ""cut 90% of red meat from diet"" to a ""max 4 lbs per year"" and ""one burger per month.""",incredible
Facebook posts,"By clicking on a link from a fake USPS text message, “you are sending your precise location to sex traffickers in your local area” so they can kidnap you.",incredible
Instagram posts,"“Those 30-, 40-year mortgages” prove that banks know climate change “is not going to happen.”",incredible
Viral image,Says Joe Biden was the only world leader to wear a face mask during a video conference.,incredible
Viral image,"Says the Chicago Police Department tweeted, “We are all Derek Chauvin.”",incredible
Sherri Tenpenny,Officials “recommend that women who get one of these (COVID-19) shots should absolutely not get pregnant for at least the first two months after they’ve been injected.”,incredible
Missouri House Democratic Caucus,"""An average of nearly 5,000 Missourians were contracting COVID every day in November.""",incredible
Instagram posts,"Says Joe Biden said, “This country is doomed, not just because of African Americans, but because by 2040 this country is going to be minority white European.""",incredible
Instagram posts,"""Mountains of data"" show drug ivermectin ""basically obliterates"" COVID-19 transmission.",incredible
TikTok posts,"A video shows Kim Jong Un calling Joe Biden a ""thug,"" a ""coward,"" and ""mentally unstable"" in a speech.",incredible
Facebook posts,Video shows Donald Trump returning to Washington “in a blaze of glory on Air Force 1.”,incredible
Facebook posts,“Pope Francis is dead.”,incredible
Dan Patrick,"“Statistics show that more people of color don't have cars than not. So how do (drive-thru voting centers) help those folks?""",incredible
Facebook posts,Maxine Waters could be “sentenced” for “jury tampering.”,incredible
Facebook posts,Children ages 5 to 9 “are not affected by” the coronavirus.,credible
Facebook posts,The knife was on the ground when police arrived at the scene of Ma’Khia Bryant shooting.,incredible
Jill Underly,"For mitigating COVID-19 spread, “masks (are) the number one way to do so.""",credible
TikTok posts,Derek Chauvin’s attorney said that space aliens “inhabited the body of Derek Chauvin and caused this death.”,incredible
Facebook posts,"Says LeBron James said, “We’re at the point where a girl can’t even stab her friends anymore.”",incredible
Viral image,Photos reveal Greta Thunberg is a trained actress who comes from a long line of actors.,incredible
Zach Wahls,"“The federal American Rescue Plan will purchase more food from farmers for distribution.""",credible
Facebook posts,Two photos show climate change “is a hoax.”,incredible
Instagram posts,“Black Lives Matter and antifa set Catholic church on fire in Minneapolis.”,incredible
Viral image,Photo shows President Barack Obama posing with a 420 sign.,incredible
Facebook posts,Derek Chauvin’s trial and conviction for the murder of George Floyd was faked as part of a “false flag.”,incredible
Facebook posts,Women’s menstrual cycles and fertility are affected by being around people who have received COVID-19 vaccines,incredible
Bloggers,“Stanford study results” show face masks are ineffective and dangerous.,incredible
Mark Born,“Private insurance gives … better coverage” than people would get under a Medicaid expansion.,incredible
Facebook posts,Japan’s prime minister met with Vice President Kamala Harris holding a Trump 2024 sign and wearing a red baseball cap.,incredible
Facebook posts,“Joe Biden and the Democrats want to remove any term that denotes gender.”,incredible
Facebook posts,“Foot Locker donated 200 million dollars to BLM.”,incredible
Facebook posts,Derek Chauvin had his left hand in his pocket while kneeling on George Floyd.,incredible
Facebook posts,Schools stopped teaching children cursive so they wouldn’t be able to read the U.S. Constitution and other historical documents.,incredible
Facebook posts,Hobby Lobby’s CEO wrote a letter saying the company’s stores may close.,incredible
Facebook posts,A serial killer is on the loose in Virginia.,incredible
Terry McAuliffe,"“I restored felons’ rights - 173,000 - more than any governor in the history of America.”",credible
Greg Abbott,Texas “could be very close to herd immunity.”,incredible
Richard Durbin,“We have 23% of all the lead pipe leads in America in the Chicagoland area.”,credible
Diamond and Silk,"Says science shows the physiological effects of wearing masks include hypoxemia, hypercapnia, shortness of breath, toxicity and increased muscle tension.",incredible
Viral image,Police say there is a suspected serial killer in Baton Rouge.,incredible
Douglas Frank,Michigan used a mathematical “key” to manipulate vote totals in 2020 election.,incredible
Facebook posts,"“This is all about a certificate of vaccination where they get you a national ID, and then the AI can track you.”",incredible
Viral image,"Coca-Cola, Ben & Jerry’s and other companies support rioting.",incredible
Janet Bewley,Says Republican lawmakers delayed COVID-19 testing,incredible
Facebook posts,Says the nation is locked down and there’s “a wide open border.”,incredible
Tucker Carlson,"“Maybe (the COVID-19 vaccine) doesn't work, and they're simply not telling you that.”",incredible
Shelley Moore Capito,"President Joe Biden’s American Relief Plan “has a lot of money in it for schools, but if you really look at it … it says that the school money is going to go out until the year 2028.”",credible
Facebook posts,"""Kids in cages"" in border facilities are ""at 700% capacity.""",credible
Pete Buttigieg,“There is racism physically built into some of our highways.”,credible
George Papadopoulos,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",incredible
Viral image,“Marjorie Taylor Greene just scrubbed her Twitter feed of all things Gaetz.”,incredible
Facebook posts,“Moderna chief medical officer admits: mRNA alters DNA.”,incredible
Facebook posts,“Jay-Z and Beyonce are buying back DMX’s masters for $10 Million and giving to his kids for free.”,incredible
Facebook posts,“McDonald’s and Coke have both announced no whites will be hired in top positions.”,incredible
National Republican Senatorial Committee,Says Raphael Warnock supports boycotts of Georgia to protest voting law.,incredible
Liz Cheney,“Something less than 6% ... of this proposal that President Biden has put forward is actually focused on infrastructure.”,incredible
Facebook posts,"A serial killer is targeting women in Hot Springs, Ark.",incredible
Facebook posts,Says the “1986 Vaccine protection act” resulted in “the biggest jump in shots” for children because it gave drug manufacturers “exemption for responsibility of killing people.”,incredible
Viral image,A photo shows Queen Elizabeth giggling because Prince Philip surprised her dressed in uniform as a palace guard.,incredible
Instagram posts,"""DMX received COVID vaccine days before heart attack.""",incredible
Viral image,"After learning some officers are Jewish, “Ilhan Omar says police shouldn’t exist.”",incredible
Viral image,"“George Floyd’s younger brother, Dejywan Floyd, has been arrested in North Carolina for a ‘road rage’ shooting of a white couple, killing the mother of six sitting in the passenger seat.”",incredible
Joe Biden,"“A new, independent study put out last week found that at least 55 of our largest corporations used various loopholes to pay zero federal income tax in 2020.”",credible
Nicholas Langworthy,Residents of New York state “pay the highest taxes in the nation.”,credible
Bloggers,Black Lives Matter protest at Iowa Capitol was an “insurrection” like that on Jan. 6 at the U.S. Capitol.,incredible
Glenn Grothman,“We have encountered the largest surge of migrants (at the southern border) in the last 20 years.”,incredible
Liz Krueger,"""In fact, the data coming in from some states that have legalized marijuana is that they actually see a decrease in use over time, particularly among young people.""",credible
Instagram posts,“56 million defenseless people ‘rounded up and exterminated’ in the 20th Century because of gun control.”,incredible
Instagram posts,Says Officer Derek Chauvin’s knee was “not on neck of George Floyd.”,incredible
Brandon Tatum,"“Kids at the border: 2,600 highest number Trump, 12,000 currently under Biden.”",credible
Instagram posts,"“Covid-does NOT exist AS A VIRUS,” and Russian doctors performing autopsies on deceased COVID-19 patients violate a World Health Organization law",incredible
Dan Patrick,"“Nothing has changed in the election code (under SB 7) regarding early voting. Nothing has changed.""",incredible
Joe Biden,"“You go to a gun show, you can buy whatever you want, and no background check.""",incredible
Facebook posts,"""New poll indicates” Joe Biden’s “approval at 11%, the lowest approval rating of any president in American history.""",incredible
Tom Tiffany,"Says it doesn't make sense for young adults to get the vaccine since they ""really are not under that much of a threat as a result of this virus.""",incredible
Facebook posts,“Former Las Vegas Raiders offensive tackle Bruce Campbell involved in altercation.”,incredible
Pete Buttigieg,"President Joe Biden’s infrastructure proposal “is fully paid for. Across 15 years, it would raise all of the revenue needed for these once-in-a-lifetime investments.""",credible
Facebook posts,"Colorado “requires photo ID to vote in person, requires signature verification for mail-in ballots, which Georgia got rid of, and prevents campaign workers from giving food, water to voters within 100 feet if they’re wearing campaign apparel.”",credible
Edward Lawrence,"""Sunday was never used before as a voting day in Georgia.”",incredible
Bloggers,“Report: Biden administration busing ‘thousands’ of illegals to red states to get permanent status.”,incredible
Tim Scott,Says Georgia “has more day-of voting rights than Colorado.”,incredible
Tammy Baldwin,"""Over the past decade, drug prices have risen at three times the rate of inflation.""",credible
Roy Blunt,The proposal by President Joe Biden would put the U.S. “No. 2 in the world” for the highest corporate tax rate.,credible
Jennifer Granholm,"President Joe Biden’s corporate tax rate increase would ""put us in line with other industrial nations.""",incredible
Instagram posts,“6000% Increase in Reported Vaccine Deaths 1st Quarter 2021 Compared to 1st Quarter 2020”,incredible
Katie Pavlich,“The Biden administration is engaging in human trafficking because they are enabling this to happen” at the southern border.,incredible
Bloggers,Says Donald Trump indicted Amy Coney Barrett.,incredible
Greg Abbott,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,credible
Facebook posts,Says Ford agreed to invest $900 million at an Ohio plant because Donald Trump “lowered taxes” and is now moving the project to Mexico because Joe Biden is “increasing taxes.”,incredible
Facebook posts,"“Pete Buttigieg’s dog and pony show. He gets out of [the] car to ride his bike a few feet, pretending to save energy.”",incredible
The Gateway Pundit,"“Per the CDC, there are nearly twice as many vaccine-related deaths so far in 2021 (1,755) than all the vaccine deaths this past decade (994).”",incredible
Rick Gundrum,"Says Gov. Tony Evers’ 2021-22 state budget ""increases taxes $1 billion +""",credible
Bloggers,"Navy SEALs found over 1,000 trafficked children and dead bodies on the Evergreen ship that blocked the Suez Canal.",incredible
Alex Mooney,"H.R. 1 “mandates practices nationwide” that include “ballot harvesting, universal mail-in voting and same-day registration.”",credible
Viral image,"In this photo, “Man uses a gun to rob a Texas convenience store. Man was shot by every customer inside the store”",incredible
Jennifer Carroll Foy,“Two out of our last three governors in Virginia were investigated by the FBI. One went to jail and one is running for office again in this election.”,credible
Roy Cooper,“People don’t pretend to be someone else to go in and vote. You just don’t see that kind of fraud.”,credible
TikTok posts,"“As of today, no one has the right to film or photograph Mr. Biden as he climbs the flight of stairs. New White House spokesman orders!!?”",incredible
Citizens United,Says Joe Biden’s infrastructure plan “is the Green New Deal.”,incredible
Tony Evers,“It took the Legislature nearly 300 days to act on a (COVID-19) bill during this pandemic.”,credible
Tweets,"""They’re unable to administer vaccines if the lockdown ends because the emergency ends with it.”",incredible
Turning Point USA,HR 1 “gives the federal government the power to establish their own committees” to take over the redistricting process.,incredible
Bloggers,The number of pregnant women who have miscarried increased by “366% in just six weeks” as a result of their receiving a COVID-19 vaccine.,incredible
Michael MacDonald,Michigan election bills are “designed to make it easier for people to vote.”,incredible
Viral image,“The tax deadline is April 18th. Do your taxes soon.”,incredible
Facebook posts,"""mRNA is not a vaccine"" — it's ""actually an operating system"" that's run by Bill Gates to program humans.",incredible
Facebook posts,"“If I don’t take the vaccine, I’m at risk for covid. If I do take the vaccine, I’m still at risk for covid PLUS I’m at risk for permanent vaccine side effects. Therefore I’m reducing my risk by not taking the vaccine. That’s the real science.”",incredible
Instagram posts,Calls COVID-19 vaccine a “non-FDA-approved experimental agent.”,incredible
Facebook posts,A map shows “all the cargo ships backed up by the Suez Canal. Get ready for shortages and prices to skyrocket.”,incredible
Instagram posts,Says H.R. 1 gives immigrants illegally in the country “the right to vote.”,incredible
Bloggers,"“From Europe: 3,964 people have died from adverse drug reactions for COVID-19 ‘vaccines’ – 162,610 injuries.”",incredible
Facebook posts,"If the voting bill H.R. 1 is passed, “absentee ballots would be mailed out to anyone without proof of the voter’s identity.”",incredible
Facebook posts,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,credible
Facebook posts,Video says COVID-19 vaccines are “weapons of mass destruction” that “could wipe out the human race.”,incredible
Viral image,Image of expansive pit shows a lithium mine.,incredible
Facebook posts,Says Ben Shapiro said on Twitter that his “red pill moment” was sharing cupcakes with poor kids.,incredible
Facebook posts,"“Joe Biden puts pro-life groups on domestic extremist list, calls pro-life people ‘violent.’”",incredible
Facebook posts,Georgia’s new voting law “makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.”,incredible
Donald Trump,"Says Deborah Birx “traveled a great distance to see her family for Thanksgiving, only to have them call the police and turn her in. She then ... resigned.”",credible
Facebook posts,"“Minority farmers get big bonus, white ones get none,” because of Democrats.",credible
Instagram posts,The ship that was stuck in the Suez Canal was a planned or staged event.,incredible
Facebook posts,"Says Rachel Levine was Time magazine's ""Woman of the Year.""",incredible
Facebook posts,Nostradamus predicted that a “feeble man” would rule the “Western World” after a time of “plague.”,incredible
Viral image,Says Sen. Cory Booker wants to require a federal license for gun owners but criticizes voter ID laws as discriminatory.,credible
Shelley Grogan,"Judge Jeff Davis ""spent years defending a convicted cop killer"" and ""tried to get him off the hook.""",credible
Pete Snyder,“There is no discernible difference between the spread and deaths of COVID in Virginia than there is in Florida.”,incredible
Facebook posts,"“Less than 500 people a year killed by all rifles combined” and “4,000 a year killed by illegals.”",incredible
Facebook posts,"Says the suspected Boulder mass shooter is a Muslim ""who entered illegally from Mexico and purchased the firearm from a guy that sells stolen guns.""",incredible
Facebook posts,“Toxicology report was made public by the MN prosecution revealing the cause of George Floyd’s death was a fentanyl overdose.”,incredible
Facebook posts,"Says Jimmy Kimmel, Jimmy Fallon and Stephen Colbert are “still not doing Biden jokes.""",incredible
Facebook posts,Says Google Earth blocked people from seeing the Suez Canal.,incredible
Facebook posts,“We spent billions on a border wall and quit when it was 90% finished.”,incredible
Josh Holmes,A Georgia law has not “criminalized giving people bottles of water.” It pertains to political organizations.,incredible
James Clyburn,"""There are 43 states that have now passed voter suppression laws.""",incredible
Tweets,"""Joe Biden forced the U.S. Attorney for the Eastern District of North Carolina to resign after 24 people were charged with election fraud and the Mainstream Media never even batted an eyelash.""",incredible
Facebook posts,Nike and Lil Nas X are launching “demonic shoes” containing human blood.,credible
Veronica Escobar,"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.”",credible
Facebook posts,“In a vegan world there would be no pandemics. 100% of pandemics are zoonotic in origin.”,incredible
Facebook posts,"""Ted Cruz says owning a gun should be as hassle free as owning a car, which as I recall requires a license and registration.""",incredible
Tony Evers,"“There’s still (only) a handful of school districts"" doing no in-person instruction.",credible
Alex Padilla,"“In a majority of states, new voters are able to obtain a rifle quicker than they’re able to cast their first ballot.”",credible
Cathy McMorris Rodgers,"The Democratic clean energy plan is pro-China, because ""90% of the solar panels, 80% of the wind machines, 90% of the rare earth minerals … are in Asia or in China.”",credible
Joe Biden,"Says there was a “28% increase in children to the border in my administration” and “31% … in 2019.” The increase in migration in January, February and March “happens every year.”",incredible
Allen West,"""Since 2006 Texas has given $19B in taxpayer subsidies to wind energy companies. Over the past 2-3 years Texas has tripled our dependence on wind energy to 23-25 percent of our energy distribution system.""",incredible
Rand Paul,"“Sorry Dr Fauci and other fearmongers, new study shows vaccines and naturally acquired immunity DO effectively neutralize COVID variants.”",credible
James Edming,“You can’t tell me they can (develop a safe vaccine) in eight to 10 months. Or a year. It takes more time than that.”,incredible
Charles Schumer,“Republicans recently passed a bill to eliminate early voting on Sunday” in Georgia,incredible
Julian Bradley,"The latest stimulus package ""sends stimulus checks to imprisoned murderers, rapists, and child molesters.”",credible
Joe Biden,“We’re sending back the vast majority of the families that are coming.”,incredible
Viral image,Bull sharks were released in an Arkansas river.,incredible
Kirsten Gillibrand,“We had the highest number of (military) sexual assaults ever reported in the last year” and “we had the lowest conviction rate and the lowest prosecution rate.”,credible
Facebook posts,Passports aren’t required to enter the United States from Mexico and Canada.,incredible
Facebook posts,"""Suez Canal blocked by huge container ship named Evergreen. Evergreen shipping is most likely a cover for human and sex trafficking” by Hillary Clinton.",incredible
Jim Justice,West Virginia “is the only state to decline in population over the last 70 years”,credible
Facebook posts,"A CNN chyron said the Boulder “shooter was factually Arabic, but morally white.”",incredible
Joy Behar,"""In 2004, George W. Bush lifted the ban on those (AR-15 type) rifles, and since then, the number of massacres has increased 183%. During the ban, there were 12 incidents. Since he lifted the ban, there were 34 incidents.""",credible
Facebook posts,"""80% of people taking the Moderna vaccine had significant side effects, via Bill Gates.""",incredible
Richard Hudson,"""Illegal border crossings are up 173% from 1 year ago and 28% since January when President Biden stopped the wall & deportations and started catch & release.""",credible
Tom Nelson,"“Right now, two-thirds of the U.S. Senate is composed of millionaires.”",credible
Jack Posobiec,“New information coming in that Boulder shooter was a Syrian refugee who arrived via Obama-era asylum programs.”,incredible
Donald Trump,"""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",incredible
Alejandro Mayorkas,The border surge is “challenging” because the immigration system that had been in place for decades “was dismantled in its entirety by the Trump administration.”,credible
Facebook posts,"The “president of Drag Queen Story Hour” was “arrested, charged with child pornography.”",incredible
Viral image,These 11 mass shootings involved an AR-15-style weapon.,credible
Facebook posts,"“Finally, a judge has ruled Dominion voting machines were designed to create fraud.”",incredible
Ron Johnson,"“There was no violence on the Senate side, in terms of the chamber.”",incredible
Viral image,"“Last week, the Colorado Supreme Court declared that Boulder’s AR-15 ban was unconstitutional. Today, there was a mass shooting in Boulder.”",credible
Facebook posts,"The shooting in Boulder, Colo., was a ""false flag like most of the others.""",incredible
Jeanine Pirro,The southern U.S. border “is now open to anyone from anywhere in the world who wishes to enter our country.”,incredible
Facebook posts,“Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.”,incredible
Viral image,"Gas costs $7.89 at a station in Albuquerque, New Mexico.",incredible
Roy Blunt,"Under H.R. 1, the Federal Election Commission “for the first time ever, instead of being an equal number of Republicans and Democrats (would be) three of one side and two of the other.""",incredible
Facebook posts,The movie “I am Legend” was based in the year 2021 and people turned into zombies “because of the wrong vaccine.”,incredible
Viral image,“Jamaica has not recorded any case of the coronavirus.”,incredible
Instagram posts,Aluminum “is in the vaccine” and will hurt the brain.,incredible
Facebook posts,"“Joe Biden and Kamala Harris forced our troops to sleep on the floor of a garage, yet has authorized $89 million for hotel rooms for illegal immigrants.”",incredible
Viral image,Says Disneyland is enforcing a “no scream” policy on roller coasters.,incredible
Viral image,Video “proves 100% that President Joe Biden is not a ‘human’ being.”,incredible
Terry McAuliffe,"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",credible
TikTok posts,“You will need a WHO Yellow Vaccination Passport if you plan on traveling internationally once borders open.”,incredible
Mike Bost,The American Rescue Plan Act “does not” include “checks and balances” on how funds for state and local governments can be spent.,credible
Facebook posts,"“Pelosi’s $1.9 trillion bailout gives EVERY federal employee a $21,000 bonus check… they never lost their job!”",incredible
